Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,App specific
jmeter_clone_repo_via_http,10,6803,6456,8752,9204,9566,4892,9656,0.0,False
jmeter_create_repo_shallow_copy,20,36,34,44,44,50,30,51,0.0,False
jmeter_git_add,14965,3,3,4,5,14,2,87,0.0,False
jmeter_git_commit,14965,6,5,7,9,15,4,354,0.0,False
jmeter_git_push_via_http,7442,314,302,360,391,592,217,9040,0.0,False
jmeter_git_fetch_via_http,7442,172,153,201,279,568,116,1163,0.0,False
jmeter_clone_repo_via_ssh,10,7206,6225,9278,11121,12595,5066,12963,0.0,False
jmeter_git_push_via_ssh,7523,340,295,544,654,764,193,1016,0.0,False
jmeter_git_fetch_via_ssh,7523,236,187,359,504,1001,97,1818,0.0,False
selenium_login:open_login_page,157,112,103,112,121,144,97,1230,0.0,False
selenium_login:login_get_started,157,287,281,314,323,392,233,696,0.0,False
selenium_login,157,485,472,508,530,624,420,2046,0.0,False
selenium_view_dashboard,157,925,682,1711,1792,1926,309,1995,0.0,False
selenium_create_pull_request:create_pull_request,157,7085,6860,7867,8140,8561,5662,14115,0.0,False
selenium_create_pull_request:merge_pull_request,157,320,306,325,355,765,276,785,0.0,False
selenium_create_pull_request,157,8416,8175,9245,9468,9909,6961,15430,0.0,False
selenium_view_projects,157,425,411,489,509,611,311,993,0.0,False
selenium_view_project_repositories,157,220,216,234,252,300,189,524,0.0,False
selenium_view_repository,157,353,327,398,640,721,280,760,0.0,False
selenium_view_list_pull_requests,157,327,320,368,386,480,273,875,0.0,False
selenium_view_pull_request_overview,157,583,497,903,928,970,415,1057,0.0,False
selenium_view_pull_request_diff,157,842,733,1722,1805,1863,404,2053,0.0,False
selenium_view_pull_request_commits,157,671,788,980,1013,1108,364,1241,0.0,False
selenium_comment_pull_request_file,157,2350,2294,2584,2839,3389,2019,3699,0.0,False
selenium_comment_pull_request_overview,157,931,935,998,1019,1091,385,1145,0.0,False
selenium_view_branches,157,839,829,885,914,1131,766,1379,0.0,False
selenium_view_commits,157,617,601,685,719,975,514,1334,0.0,False
selenium_log_out,157,100,98,107,113,134,90,141,0.0,False
