Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,App specific
jmeter_login_and_view_dashboard,200,530,332,446,587,6917,291,12959,0.0,False
jmeter_view_issue,18190,221,169,413,459,522,116,1849,0.0,False
jmeter_search_jql,5497,570,468,928,973,1060,350,2510,0.0,False
jmeter_view_dashboard,5075,281,241,429,528,708,172,1698,0.0,False
jmeter_view_backlog,2537,304,250,467,651,744,201,1767,0.0,False
jmeter_create_issue:open_quick_create,1693,79,65,142,170,208,48,246,0.0,False
jmeter_create_issue:fill_and_submit_issue_form,1693,217,171,412,447,509,135,1524,0.0,False
jmeter_view_project_summary,1691,215,177,316,410,600,131,1512,0.0,False
jmeter_edit_issue:open_editor,1691,77,72,85,91,139,63,1542,0.0,False
jmeter_view_kanban_board,1269,262,230,392,527,595,158,1810,0.0,False
jmeter_view_scrum_board,1269,141,106,272,324,374,80,1623,0.0,False
jmeter_edit_issue:save_edit,1691,279,259,359,414,522,208,1240,0.0,False
jmeter_browse_projects,1691,47,44,53,57,99,37,168,0.0,False
jmeter_add_comment:open_comment,846,79,63,132,151,192,46,242,0.0,False
jmeter_add_comment:save_comment,846,214,154,400,442,501,106,1739,0.0,False
jmeter_browse_boards,846,69,67,81,87,120,53,204,0.0,False
selenium_login:open_login_page,190,123,115,142,152,177,103,685,0.0,False
selenium_login:login_and_view_dashboard,190,830,576,1446,1505,1593,472,2709,0.0,False
selenium_login,190,954,712,1564,1644,1741,581,3395,0.0,False
selenium_browse_projects_list,190,336,327,400,411,474,246,599,0.0,False
selenium_browse_boards_list,190,350,308,357,598,853,287,2685,0.0,False
selenium_create_issue:open_quick_create,190,860,874,920,937,988,663,1002,0.0,False
selenium_create_issue:fill_and_submit_issue_form:submit_issue_form,190,632,628,649,669,677,613,788,0.0,False
selenium_create_issue:fill_and_submit_issue_form,190,1320,1286,1355,1396,2065,1127,4204,0.0,False
selenium_create_issue,190,2180,2172,2250,2283,2849,1829,4952,0.0,False
selenium_edit_issue:open_edit_issue_form,190,623,590,775,821,898,491,949,0.0,False
selenium_edit_issue:save_edit_issue_form,190,662,650,732,799,913,549,1040,0.0,False
selenium_edit_issue,190,1797,1777,1910,1966,2121,1638,2216,0.0,False
selenium_save_comment:open_comment_form,190,449,448,512,528,609,271,621,0.0,False
selenium_save_comment:submit_form,190,899,878,973,1041,1238,742,1851,0.0,False
selenium_save_comment,190,1524,1502,1617,1680,2304,1310,2622,0.0,False
selenium_search_jql,190,1617,1574,1726,1879,2199,1457,3850,0.0,False
selenium_view_scrum_board_backlog,190,1290,1493,1579,1634,1827,584,3892,0.0,False
selenium_view_scrum_board,190,875,856,961,981,1109,363,2601,0.0,False
selenium_view_kanban_board,190,939,900,1271,1385,1513,418,1693,0.0,False
selenium_view_dashboard,190,443,445,622,693,795,236,826,0.0,False
selenium_view_issue,190,794,788,881,915,1046,564,1753,0.0,False
selenium_project_summary,190,577,564,661,695,767,458,1995,0.0,False
selenium_log_out,190,395,386,473,489,524,312,526,0.0,False
