Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,App specific
jmeter_login_and_view_dashboard,200,386,338,474,669,1097,278,1720,0.0,False
jmeter_view_dashboard,5079,273,241,403,447,522,178,1260,0.0,False
jmeter_view_issue,18201,216,179,327,359,440,118,2717,0.0,False
jmeter_search_jql,5502,550,509,714,753,868,361,3926,0.0,False
jmeter_view_backlog,2540,302,268,429,470,550,206,2349,0.0,False
jmeter_create_issue:open_quick_create,1693,77,70,105,121,154,49,1757,0.0,False
jmeter_create_issue:fill_and_submit_issue_form,1693,238,190,365,387,442,147,794,0.0,False
jmeter_view_project_summary,1693,367,308,735,866,1073,134,1952,0.0,False
jmeter_edit_issue:open_editor,1693,76,71,85,91,122,60,1595,0.0,False
jmeter_edit_issue:save_edit,1693,281,264,349,393,529,211,1228,0.0,False
jmeter_browse_projects,1693,46,43,52,55,95,36,171,0.0,False
jmeter_view_kanban_board,1270,217,191,342,382,446,128,749,0.0,False
jmeter_view_scrum_board,1270,116,114,149,165,218,78,444,0.0,False
jmeter_add_comment:open_comment,847,61,56,81,93,121,44,213,0.0,False
jmeter_add_comment:save_comment,847,175,144,286,312,360,110,524,0.0,False
jmeter_browse_boards,846,64,59,75,80,135,50,975,0.0,False
selenium_login:open_login_page,191,127,117,150,158,210,104,706,0.0,False
selenium_login:login_and_view_dashboard,191,1109,1313,1456,1478,1840,457,5069,0.0,False
selenium_login,191,1236,1438,1571,1604,1968,583,5776,0.0,False
selenium_browse_projects_list,191,289,287,336,354,373,238,386,0.0,False
selenium_browse_boards_list,191,349,299,344,748,802,279,4134,0.0,False
selenium_create_issue:open_quick_create,191,850,867,915,936,978,653,1347,0.0,False
selenium_create_issue:fill_and_submit_issue_form:submit_issue_form,191,633,628,641,649,675,609,1178,0.0,False
selenium_create_issue:fill_and_submit_issue_form,191,1435,1294,1392,2883,4080,1128,4172,0.0,False
selenium_create_issue,191,2286,2166,2277,3906,4787,1785,4877,0.0,False
selenium_edit_issue:open_edit_issue_form,191,645,619,777,818,887,493,1391,0.0,False
selenium_edit_issue:save_edit_issue_form,191,656,653,715,750,847,555,914,0.0,False
selenium_edit_issue,191,1787,1779,1862,1904,2033,1654,2766,0.0,False
selenium_save_comment:open_comment_form,191,452,450,513,532,596,291,669,0.0,False
selenium_save_comment:submit_form,191,873,860,955,984,1035,710,2527,0.0,False
selenium_save_comment,191,1491,1471,1579,1618,1804,1326,3205,0.0,False
selenium_search_jql,191,1511,1471,1633,1718,1870,1330,4206,0.0,False
selenium_view_scrum_board_backlog,191,1217,1059,1566,1602,1660,726,4152,0.0,False
selenium_view_scrum_board,191,868,837,942,964,1029,803,3003,0.0,False
selenium_view_kanban_board,191,888,862,1226,1332,1541,377,1603,0.0,False
selenium_view_dashboard,191,420,400,601,680,796,241,816,0.0,False
selenium_view_issue,191,753,751,828,844,894,599,1885,0.0,False
selenium_project_summary,191,530,519,602,623,676,362,2189,0.0,False
selenium_log_out,191,378,373,440,474,494,299,568,0.0,False
