Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,App specific
jmeter_login_and_view_dashboard,200,479,382,572,632,4056,278,5772,0.0,False
jmeter_view_issue,18199,187,183,233,249,314,120,2869,0.0,False
jmeter_view_dashboard,5079,262,259,327,345,384,184,1643,0.0,False
jmeter_search_jql,5502,466,459,524,546,599,357,3865,0.0,False
jmeter_create_issue:open_quick_create,1693,88,85,99,105,173,68,652,0.0,False
jmeter_create_issue:fill_and_submit_issue_form,1693,231,250,305,318,352,140,1693,0.0,False
jmeter_view_project_summary,1693,214,217,264,277,311,140,1772,0.0,False
jmeter_edit_issue:open_editor,1693,89,90,111,116,138,62,466,0.0,False
jmeter_edit_issue:save_edit,1693,344,338,445,510,747,208,1427,0.0,False
jmeter_view_backlog,2540,287,272,349,368,416,203,2737,0.0,False
jmeter_browse_projects,1693,54,53,65,68,84,38,1294,0.0,False
jmeter_view_kanban_board,1270,241,236,269,281,371,134,2217,0.0,False
jmeter_view_scrum_board,1270,145,148,179,188,202,84,510,0.0,False
jmeter_add_comment:open_comment,847,68,62,86,93,144,46,607,0.0,False
jmeter_add_comment:save_comment,847,174,157,228,246,296,107,1631,0.0,False
jmeter_browse_boards,846,71,68,86,91,111,53,501,0.0,False
selenium_login:open_login_page,202,123,115,137,156,196,104,720,0.0,False
selenium_login:login_and_view_dashboard,202,644,597,671,971,1444,527,2291,0.0,False
selenium_login,202,768,716,794,1161,1577,638,3012,0.0,False
selenium_browse_projects_list,202,311,306,334,355,400,251,522,0.0,False
selenium_browse_boards_list,202,319,304,324,331,596,279,2128,0.0,False
selenium_create_issue:open_quick_create,202,859,874,922,931,975,543,1081,0.0,False
selenium_create_issue:fill_and_submit_issue_form:submit_issue_form,202,630,627,643,655,670,616,685,0.0,False
selenium_create_issue:fill_and_submit_issue_form,202,1299,1278,1362,1395,1446,1153,4266,0.0,False
selenium_create_issue,202,2159,2160,2251,2276,2439,1856,4976,0.0,False
selenium_edit_issue:open_edit_issue_form,202,636,588,789,805,849,484,880,0.0,False
selenium_edit_issue:save_edit_issue_form,202,664,655,729,754,843,550,1057,0.0,False
selenium_edit_issue,202,1791,1772,1870,1911,2388,1657,2478,0.0,False
selenium_save_comment:open_comment_form,202,447,448,507,524,539,257,546,0.0,False
selenium_save_comment:submit_form,202,864,862,921,938,956,733,1746,0.0,False
selenium_save_comment,202,1477,1472,1540,1568,1783,1319,2355,0.0,False
selenium_search_jql,202,1186,1171,1220,1249,1279,1124,2668,0.0,False
selenium_view_scrum_board_backlog,202,1251,1478,1582,1601,1624,807,3382,0.0,False
selenium_view_scrum_board,202,863,838,950,963,992,518,2428,0.0,False
selenium_view_kanban_board,202,956,936,1323,1387,1457,411,1539,0.0,False
selenium_view_dashboard,202,433,403,627,701,843,245,890,0.0,False
selenium_view_issue,202,775,780,857,883,914,555,1704,0.0,False
selenium_project_summary,202,595,582,670,689,746,401,1806,0.0,False
selenium_log_out,202,404,398,460,476,525,331,552,0.0,False
