Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,App specific
jmeter_login_and_view_dashboard,200,978,944,1076,1172,1804,791,1981,0.0,False
jmeter_view_page:open_page,8601,266,218,454,560,644,167,2105,0.0,False
jmeter_view_page:view_page_tree,8600,50,31,96,108,152,7,246,0.0,False
jmeter_view_blog,1274,359,296,516,929,1039,200,1529,0.0,False
jmeter_search_cql:recently_viewed,1115,10,9,17,18,22,4,141,0.0,False
jmeter_search_cql:search_results,1115,505,496,572,598,654,270,824,0.0,False
jmeter_view_dashboard,955,868,862,937,961,1027,750,1172,0.0,False
jmeter_create_and_edit_page:create_page_editor,955,131,128,142,148,191,118,313,0.0,False
jmeter_create_and_edit_page:create_page,955,257,252,276,291,342,228,522,0.0,False
jmeter_create_and_edit_page:open_editor,955,91,89,102,107,143,77,196,0.0,False
jmeter_create_and_edit_page:edit_page,955,262,257,279,299,348,229,1150,0.0,False
jmeter_comment_page,796,48,45,60,68,81,34,140,0.0,False
jmeter_upload_attachment,718,360,252,786,1024,1365,154,1522,0.0,False
jmeter_create_blog:blog_editor,478,166,160,186,210,270,140,387,0.0,False
jmeter_create_blog:feel_and_publish,478,274,267,301,327,380,240,456,0.0,False
jmeter_view_attachment,478,59,53,82,89,104,42,164,0.0,False
jmeter_like_page,478,24,27,31,32,40,11,61,0.0,False
selenium_login:open_login_page,359,108,107,111,114,127,99,481,0.0,False
selenium_login:login_and_view_dashboard,359,307,310,333,341,365,258,598,0.0,False
selenium_login,359,500,501,529,534,566,445,1170,0.0,False
selenium_view_page,359,467,407,708,760,888,293,1715,0.0,False
selenium_create_page:open_create_page_editor,359,794,788,844,863,905,677,3135,0.0,False
selenium_create_page:save_created_page,359,611,610,629,635,654,571,719,0.0,False
selenium_create_page,359,1537,1529,1596,1626,1662,1416,3889,0.0,False
selenium_edit_page:open_create_page_editor,359,1679,1692,2382,2627,2765,968,2938,0.0,False
selenium_edit_page:save_edited_page,359,815,777,976,1064,1313,613,1361,0.0,False
selenium_edit_page,359,2518,2634,3257,3467,3764,1724,3869,0.0,False
selenium_create_comment:write_comment,359,632,665,812,821,851,272,886,0.0,False
selenium_create_comment:save_comment,359,376,169,668,672,679,140,691,0.0,False
selenium_create_comment,359,1431,1383,1829,1927,2073,829,2167,0.0,False
selenium_view_blog,359,613,560,755,1185,1462,349,1955,0.0,False
selenium_view_dashboard,359,263,257,327,336,363,184,455,0.0,False
selenium_log_out,359,118,118,123,124,131,109,167,0.0,False
