Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,App specific
jmeter_login_and_view_dashboard,200,890,886,1001,1042,1106,713,2569,0.0,False
jmeter_view_page:open_page,8601,283,243,474,566,656,154,2071,0.0,False
jmeter_view_page:view_page_tree,8601,48,33,103,121,159,7,457,0.0,False
jmeter_view_blog,1274,386,317,678,971,1237,174,1888,0.0,False
jmeter_search_cql:recently_viewed,1115,10,10,16,20,26,4,138,0.0,False
jmeter_search_cql:search_results,1115,437,424,514,533,577,292,642,0.0,False
jmeter_view_dashboard,955,784,800,930,964,1009,581,1118,0.0,False
jmeter_create_and_edit_page:create_page_editor,955,131,129,157,162,177,94,897,0.0,False
jmeter_create_and_edit_page:create_page,955,255,251,313,322,344,190,963,0.0,False
jmeter_create_and_edit_page:open_editor,955,95,92,108,114,154,72,361,0.0,False
jmeter_create_and_edit_page:edit_page,955,253,249,308,319,358,187,607,0.0,False
jmeter_comment_page,796,49,46,69,76,99,26,414,0.0,False
jmeter_upload_attachment,790,379,262,820,1043,1265,141,1719,0.0,False
jmeter_create_blog:blog_editor,478,170,166,199,206,246,119,566,0.0,False
jmeter_create_blog:feel_and_publish,478,286,280,340,351,375,215,735,0.0,False
jmeter_view_attachment,478,67,62,92,101,126,42,204,0.0,False
jmeter_like_page,478,25,23,39,41,50,9,119,0.0,False
selenium_login:open_login_page,351,109,107,112,114,173,98,450,0.0,False
selenium_login:login_and_view_dashboard,351,316,317,340,348,362,263,398,0.0,False
selenium_login,351,509,508,535,544,580,452,934,0.0,False
selenium_view_page,351,478,431,705,773,845,293,912,0.0,False
selenium_create_page:open_create_page_editor,351,801,800,858,878,896,629,934,0.0,False
selenium_create_page:save_created_page,351,615,612,634,646,679,571,819,0.0,False
selenium_create_page,351,1548,1545,1613,1637,1706,1359,1789,0.0,False
selenium_edit_page:open_create_page_editor,351,1662,1631,2406,2634,2802,970,2916,0.0,False
selenium_edit_page:save_edited_page,351,819,785,992,1064,1134,605,1477,0.0,False
selenium_edit_page,351,2505,2528,3262,3490,3704,1682,3825,0.0,False
selenium_create_comment:write_comment,351,636,694,813,821,868,274,1704,0.0,False
selenium_create_comment:save_comment,351,448,621,666,670,679,138,688,0.0,False
selenium_create_comment,351,1512,1569,1855,1978,2222,822,2525,0.0,False
selenium_view_blog,351,686,623,1184,1249,1506,419,2228,0.0,False
selenium_view_dashboard,351,268,258,327,334,364,178,412,0.0,False
selenium_log_out,351,119,118,125,128,155,109,202,0.0,False
