Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,App specific
jmeter_login_and_view_dashboard,200,813,806,892,913,949,688,975,0.0,False
jmeter_view_page:open_page,8602,239,193,411,477,558,147,1049,0.0,False
jmeter_view_page:view_page_tree,8602,50,30,98,114,162,6,308,0.0,False
jmeter_view_blog,1274,339,275,664,791,941,176,1619,0.0,False
jmeter_search_cql:recently_viewed,1115,8,7,13,15,18,4,74,0.0,False
jmeter_search_cql:search_results,1115,423,417,475,499,548,253,642,0.0,False
jmeter_view_dashboard,956,701,693,749,771,870,640,1394,0.0,False
jmeter_create_and_edit_page:create_page_editor,956,111,109,120,127,172,99,418,0.0,False
jmeter_create_and_edit_page:create_page,956,225,219,242,253,316,200,1030,0.0,False
jmeter_create_and_edit_page:open_editor,956,88,84,98,104,137,75,453,0.0,False
jmeter_create_and_edit_page:edit_page,956,226,222,246,256,314,202,449,0.0,False
jmeter_comment_page,796,42,40,53,57,72,30,466,0.0,False
jmeter_upload_attachment,717,402,257,862,1177,1641,161,2008,0.0,False
jmeter_create_blog:blog_editor,478,143,140,160,166,208,121,247,0.0,False
jmeter_create_blog:feel_and_publish,478,242,233,271,298,357,210,404,0.0,False
jmeter_view_attachment,478,57,51,79,86,113,40,142,0.0,False
jmeter_like_page,478,25,27,31,32,33,11,52,0.0,False
selenium_login:open_login_page,370,107,104,109,111,122,96,1247,0.0,False
selenium_login:login_and_view_dashboard,370,289,281,325,334,349,250,767,0.0,False
selenium_login,370,481,470,514,525,540,434,2100,0.0,False
selenium_view_page,370,449,388,657,701,756,276,1461,0.0,False
selenium_create_page:open_create_page_editor,370,794,785,859,884,932,679,2966,0.0,False
selenium_create_page:save_created_page,370,612,611,628,637,663,569,682,0.0,False
selenium_create_page,370,1539,1529,1617,1644,1699,1413,3765,0.0,False
selenium_edit_page:open_create_page_editor,370,1694,1877,2415,2603,2745,965,3678,0.0,False
selenium_edit_page:save_edited_page,370,808,771,916,1083,1537,648,2319,0.0,False
selenium_edit_page,370,2527,2767,3350,3454,3811,1706,4364,0.0,False
selenium_create_comment:write_comment,370,625,645,807,836,870,264,1718,0.0,False
selenium_create_comment:save_comment,370,238,158,661,668,680,134,686,0.0,False
selenium_create_comment,370,1260,1202,1630,1802,2048,778,2108,0.0,False
selenium_view_blog,370,617,565,1028,1081,1319,349,1535,0.0,False
selenium_view_dashboard,370,229,204,305,320,351,177,728,0.0,False
selenium_log_out,370,114,113,119,121,126,106,193,0.0,False
