Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,App specific
jmeter_clone_repo_via_http,10,8295,7708,9402,12770,15464,6038,16137,0.0,False
jmeter_create_repo_shallow_copy,20,34,34,38,41,43,29,43,0.0,False
jmeter_git_add,14948,3,3,4,5,14,1,103,0.0,False
jmeter_git_commit,14948,7,5,9,12,28,4,103,0.0,False
jmeter_git_push_via_http,7455,1006,982,1538,1775,2143,273,3948,0.0,False
jmeter_git_fetch_via_http,7451,487,446,725,903,1782,135,4346,0.0,False
jmeter_clone_repo_via_ssh,10,8479,7548,12506,12713,12879,6918,12920,0.0,False
jmeter_git_push_via_ssh,7493,859,838,1288,1486,1872,229,3508,0.0,False
jmeter_git_fetch_via_ssh,7489,505,343,1099,1656,2600,141,4993,0.0,False
selenium_login:open_login_page,146,110,104,116,125,182,95,439,0.0,False
selenium_login:login_get_started,146,295,290,348,375,458,223,561,0.0,False
selenium_login,146,489,483,546,578,653,402,1086,0.0,False
selenium_view_dashboard,146,927,334,2616,3071,3629,199,3811,0.0,False
selenium_create_pull_request:create_pull_request,146,8289,8187,9805,10322,10680,5847,12599,0.0,False
selenium_create_pull_request:merge_pull_request,146,416,304,777,784,791,271,796,0.0,False
selenium_create_pull_request,146,9735,9596,11509,11980,12549,7091,13947,0.0,False
selenium_view_projects,146,424,413,466,482,605,307,1062,0.0,False
selenium_view_project_repositories,146,258,230,292,362,729,191,742,0.0,False
selenium_view_repository,146,443,414,546,738,1002,269,1067,0.0,False
selenium_view_list_pull_requests,146,368,350,430,494,763,254,872,0.0,False
selenium_view_pull_request_overview,146,586,550,775,922,1055,352,1176,0.0,False
selenium_view_pull_request_diff,146,738,725,872,976,1529,448,1678,0.0,False
selenium_view_pull_request_commits,146,671,507,1078,1123,1657,345,1844,0.0,False
selenium_comment_pull_request_file,146,2262,2168,2726,3011,3558,1800,3736,0.0,False
selenium_comment_pull_request_overview,146,826,835,929,953,1012,385,1031,0.0,False
selenium_view_branches,146,863,825,902,1240,1446,772,1814,0.0,False
selenium_view_commits,146,719,708,854,890,965,519,1013,0.0,False
selenium_log_out,146,104,99,116,131,167,89,176,0.0,False
