Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,App specific
jmeter_clone_repo_via_ssh,14,8230,9024,9796,11241,13309,5206,13826,0.0,False
jmeter_create_repo_shallow_copy,20,34,33,36,41,51,30,54,0.0,False
jmeter_git_add,14954,3,3,4,5,14,2,70,0.0,False
jmeter_git_commit,14954,6,5,7,9,16,4,64,0.0,False
jmeter_git_push_via_ssh,10500,785,766,1137,1261,1471,239,3187,0.0,False
jmeter_git_fetch_via_ssh,10500,431,336,705,1151,1844,128,3288,0.0,False
jmeter_clone_repo_via_http,6,6511,5373,9146,9410,9622,4841,9675,0.0,False
jmeter_git_push_via_http,4454,932,910,1416,1565,1772,279,2905,0.0,False
jmeter_git_fetch_via_http,4454,450,422,667,779,1508,138,2670,0.0,False
selenium_login:open_login_page,157,117,106,123,139,188,95,1204,0.0,False
selenium_login:login_get_started,157,299,294,339,357,410,237,725,0.0,False
selenium_login,157,505,490,549,572,650,427,2051,0.0,False
selenium_view_dashboard,157,593,263,1616,2241,2867,190,3853,0.0,False
selenium_create_pull_request:create_pull_request,157,7723,7469,8736,9267,10294,6018,14233,0.0,False
selenium_create_pull_request:merge_pull_request,157,379,315,781,794,810,275,820,0.0,False
selenium_create_pull_request,157,9146,8900,10288,10626,11901,7343,16018,0.0,False
selenium_view_projects,157,452,439,519,549,698,315,1105,0.0,False
selenium_view_project_repositories,157,250,235,277,297,713,200,739,0.0,False
selenium_view_repository,157,449,406,578,853,957,289,967,0.0,False
selenium_view_list_pull_requests,157,347,327,414,442,593,268,1001,0.0,False
selenium_view_pull_request_overview,157,546,529,692,759,841,386,867,0.0,False
selenium_view_pull_request_diff,157,646,575,789,1379,1556,374,1640,0.0,False
selenium_view_pull_request_commits,157,696,540,1037,1119,1285,341,1322,0.0,False
selenium_comment_pull_request_file,157,2107,2111,2436,2614,3343,1483,3894,0.0,False
selenium_comment_pull_request_overview,157,687,678,834,883,937,441,986,0.0,False
selenium_view_branches,157,819,811,867,904,928,755,987,0.0,False
selenium_view_commits,157,722,707,863,905,1003,532,1139,0.0,False
selenium_log_out,157,107,103,122,135,167,92,191,0.0,False
